id,words,syllables,syllables_per_word,word_letter_count,characters,characters_spaces,alphanumeric,alpha,articles,sentences,sentence_len_stdev,min_words_per_sentence,max_words_per_sentence,avg_words_per_sentence,words_per_sentence_stdev,syllables_per_sentence,letters_per_sentence,paragraphs,word_per_paragraph,pages_paperback,pages_a4,to_be_verbs,contractions,pauses,words_between_pauses,pauses_per_sentence,syllables_between_pauses,questions,question_sentence_ratio,unique_words,pronouns,first_person_pronouns,second_person_pronouns,third_person_pronouns,prepositions,cliches,similes
161,118580,179851,1.52,4.43,549572,673798,525302,525199,6565,5200,110.96,1,262,22.8,0.08,34.59,101,1865,63.58,296.45,169.4,5370,794,14261,8.31,2.74,12.61,451,0.0867,7616,19243,22,10,67,21627,11,158
164,102975,156423,1.52,4.46,480481,589641,458836,457559,10877,6693,69.04,1,241,15.39,0.37,23.37,68.36,2385,43.18,257.44,147.11,3464,338,12913,7.97,1.93,12.11,602,0.0899,8991,10162,49,7,42,18585,9,53
165,112624,164753,1.46,4.36,521267,636656,491398,491357,10034,8396,62.8,1,271,13.41,0.36,19.62,58.52,2592,43.45,281.56,160.89,3501,2131,10315,10.92,1.23,15.97,849,0.1011,9875,13648,11,8,80,19811,15,75
166,57297,81878,1.43,4.29,256652,314995,245642,245626,5024,2965,76.23,1,109,19.32,0.4,27.61,82.84,945,60.63,143.24,81.85,1624,894,3861,14.84,1.3,21.2,272,0.0917,6459,8716,7,5,87,10919,10,26
171,36852,56280,1.53,4.46,171749,210024,164520,164520,2597,1428,146.43,1,344,25.81,1.43,39.41,115.21,651,56.61,92.13,52.65,1145,170,3975,9.27,2.78,14.15,124,0.0868,4555,5827,27,10,61,6272,5,6
173,72792,109132,1.5,4.39,337980,415938,319725,319671,6661,5648,59.4,1,120,12.89,0.03,19.32,56.6,2393,30.42,181.98,103.99,2633,483,8718,8.35,1.54,12.52,532,0.0942,8430,9278,47,8,43,12731,13,20
174,78934,112769,1.43,4.2,348612,433690,331296,331255,5741,6532,68.97,1,516,12.08,0.21,17.26,50.71,1523,51.83,197.34,112.76,3606,679,8235,9.58,1.26,13.69,574,0.0879,7341,12235,26,15,57,13041,6,53
175,85564,123025,1.44,4.22,382937,474659,360910,360757,7535,7016,66.18,1,132,12.2,0.56,17.53,51.42,2371,36.09,213.91,122.23,3132,841,10528,8.13,1.5,11.68,697,0.0993,7082,11574,31,13,55,14368,13,50
177,133809,196512,1.47,4.25,602568,739265,568891,568861,9058,9780,59.72,1,150,13.68,0.24,20.09,58.17,2735,48.92,334.52,191.16,5124,0,11252,11.89,1.15,17.46,966,0.0988,9782,20461,24,15,60,22270,21,100
201,34613,53788,1.55,4.48,162411,202945,155083,154874,3096,1403,139.23,1,995,24.67,3.58,38.34,110.39,560,61.81,86.53,49.45,1201,69,3655,9.47,2.61,14.71,143,0.1019,4969,3503,48,15,35,6716,6,29
